,Unnamed: 0,year,make,model,body_styles
10,10.0,2021,Audi,S5,"[""Convertible"", ""Sedan"", ""Coupe""]"
11,11.0,2021,Audi,S6,"[""Sedan""]"
12,12.0,2021,BMW,3 Series,"[""Sedan""]"
13,13.0,2021,BMW,X1,"[""SUV""]"
14,14.0,2021,BMW,X3,"[""SUV""]"
15,15.0,2021,BMW,X5,"[""SUV""]"
16,16.0,2021,BMW,X7,"[""SUV""]"
17,17.0,2021,Buick,Enclave,"[""SUV""]"
18,18.0,2021,Buick,Encore,"[""SUV""]"
19,19.0,2021,Buick,Encore GX,"[""SUV""]"
20,20.0,2021,Buick,Envision,"[""SUV""]"
21,21.0,2021,Cadillac,CT4,"[""Sedan""]"
22,22.0,2021,Cadillac,CT5,"[""Sedan""]"
23,23.0,2021,Cadillac,Escalade,"[""SUV""]"
24,24.0,2021,Cadillac,Escalade ESV,"[""SUV""]"
25,25.0,2021,Cadillac,XT4,"[""SUV""]"
26,26.0,2021,Cadillac,XT5,"[""SUV""]"
27,27.0,2021,Cadillac,XT6,"[""SUV""]"
28,28.0,2021,Chevrolet,Blazer,"[""SUV""]"
29,29.0,2021,Chevrolet,Bolt EV,"[""Hatchback""]"
30,30.0,2021,Chevrolet,Camaro,"[""Coupe""]"
31,31.0,2021,Chevrolet,Colorado Crew Cab,"[""Pickup""]"
32,32.0,2021,Chevrolet,Colorado Extended Cab,"[""Pickup""]"
33,33.0,2021,Chevrolet,Corvette,"[""Convertible"", ""Coupe""]"
34,34.0,2021,Chevrolet,Equinox,"[""SUV""]"
35,35.0,2021,Chevrolet,Express 3500 Cargo,"[""Van/Minivan""]"
36,36.0,2021,Chevrolet,Malibu,"[""Sedan""]"
37,37.0,2021,Chevrolet,Silverado 1500 Crew Cab,"[""Pickup""]"
38,38.0,2021,Chevrolet,Silverado 2500 HD Crew Cab,"[""Pickup""]"
39,39.0,2021,Chevrolet,Silverado 2500 HD Double Cab,"[""Pickup""]"
40,40.0,2021,Chevrolet,Silverado 2500 HD Regular Cab,"[""Pickup""]"
41,41.0,2021,Chevrolet,Silverado 3500 HD Crew Cab,"[""Pickup""]"
42,42.0,2021,Chevrolet,Spark,"[""Hatchback""]"
43,43.0,2021,Chevrolet,Suburban,"[""SUV""]"
44,44.0,2021,Chevrolet,Tahoe,"[""SUV""]"
45,45.0,2021,Chevrolet,Trailblazer,"[""SUV""]"
46,46.0,2021,Chevrolet,Traverse,"[""SUV""]"
47,47.0,2021,Chevrolet,Trax,"[""SUV""]"
48,48.0,2021,Chrysler,300,"[""Sedan""]"
49,49.0,2021,Chrysler,Pacifica,"[""Van/Minivan""]"
50,50.0,2021,Chrysler,Voyager,"[""Van/Minivan""]"
51,51.0,2021,Dodge,Challenger,"[""Coupe""]"
52,52.0,2021,Dodge,Charger,"[""Sedan""]"
53,53.0,2021,Dodge,Durango,"[""SUV""]"
54,54.0,2021,FIAT,500X,"[""SUV""]"
55,55.0,2021,Ford,Bronco Sport,"[""SUV""]"
56,56.0,2021,Ford,EcoSport,"[""SUV""]"
57,57.0,2021,Ford,Edge,"[""SUV""]"
58,58.0,2021,Ford,Escape,"[""SUV""]"
59,59.0,2021,Ford,Expedition,"[""SUV""]"
60,60.0,2021,Ford,Expedition MAX,"[""SUV""]"
61,61.0,2021,Ford,Explorer,"[""SUV""]"
62,62.0,2021,Ford,F150 SuperCrew Cab,"[""Pickup""]"
63,63.0,2021,Ford,F250 Super Duty Crew Cab,"[""Pickup""]"
64,64.0,2021,Ford,Mustang,"[""Coupe"", ""Convertible""]"
65,65.0,2021,Ford,Ranger SuperCrew,"[""Pickup""]"
66,66.0,2021,Ford,Transit Connect Cargo Van,"[""Van/Minivan""]"
67,67.0,2021,Genesis,G70,"[""Sedan""]"
68,68.0,2021,Genesis,G80,"[""Sedan""]"
69,69.0,2021,Genesis,G90,"[""Sedan""]"
70,70.0,2021,Genesis,GV80,"[""SUV""]"
71,71.0,2021,GMC,Acadia,"[""SUV""]"
72,72.0,2021,GMC,Canyon Crew Cab,"[""Pickup""]"
73,73.0,2021,GMC,Canyon Extended Cab,"[""Pickup""]"
74,74.0,2021,GMC,Sierra 1500 Crew Cab,"[""Pickup""]"
75,75.0,2021,GMC,Sierra 2500 HD Crew Cab,"[""Pickup""]"
76,76.0,2021,GMC,Sierra 3500 HD Crew Cab,"[""Pickup""]"
77,77.0,2021,GMC,Terrain,"[""SUV""]"
78,78.0,2021,GMC,Yukon,"[""SUV""]"
79,79.0,2021,GMC,Yukon XL,"[""SUV""]"
80,80.0,2021,Honda,Accord,"[""Sedan""]"
81,81.0,2021,Honda,Accord Hybrid,"[""Sedan""]"
82,82.0,2021,Honda,Civic,"[""Hatchback"", ""Sedan""]"
83,83.0,2021,Honda,Civic Type R,"[""Hatchback""]"
84,84.0,2021,Honda,CR-V,"[""SUV""]"
85,85.0,2021,Honda,CR-V Hybrid,"[""SUV""]"
86,86.0,2021,Honda,HR-V,"[""SUV""]"
87,87.0,2021,Honda,Insight,"[""Sedan""]"
88,88.0,2021,Honda,Odyssey,"[""Van/Minivan""]"
89,89.0,2021,Honda,Passport,"[""SUV""]"
90,90.0,2021,Honda,Pilot,"[""SUV""]"
91,91.0,2021,Honda,Ridgeline,"[""Pickup""]"
92,92.0,2021,Hyundai,Accent,"[""Sedan""]"
93,93.0,2021,Hyundai,Elantra,"[""Sedan""]"
94,94.0,2021,Hyundai,Ioniq Electric,"[""Hatchback""]"
95,95.0,2021,Hyundai,Ioniq Hybrid,"[""Hatchback""]"
96,96.0,2021,Hyundai,Ioniq Plug-in Hybrid,"[""Hatchback""]"
97,97.0,2021,Hyundai,Kona,"[""SUV""]"
98,98.0,2021,Hyundai,Kona Electric,"[""SUV""]"
99,99.0,2021,Hyundai,Palisade,"[""SUV""]"
100,100.0,2021,Hyundai,Santa Fe,"[""SUV""]"
101,101.0,2021,Hyundai,Sonata,"[""Sedan""]"
102,102.0,2021,Hyundai,Sonata Hybrid,"[""Sedan""]"
103,103.0,2021,Hyundai,Tucson,"[""SUV""]"
104,104.0,2021,Hyundai,Veloster,"[""Coupe""]"
105,105.0,2021,Hyundai,Venue,"[""SUV""]"
106,106.0,2021,INFINITI,Q50,"[""Sedan""]"
107,107.0,2021,INFINITI,QX50,"[""SUV""]"
108,108.0,2021,INFINITI,QX80,"[""SUV""]"
109,109.0,2021,Jaguar,E-PACE,"[""SUV""]"
110,110.0,2021,Jaguar,I-PACE,"[""SUV""]"
111,111.0,2021,Jeep,Cherokee,"[""SUV""]"
112,112.0,2021,Jeep,Compass,"[""SUV""]"
113,113.0,2021,Jeep,Gladiator,"[""Pickup""]"
114,114.0,2021,Jeep,Grand Cherokee,"[""SUV""]"
115,115.0,2021,Jeep,Grand Cherokee L,"[""SUV""]"
116,116.0,2021,Jeep,Renegade,"[""SUV""]"
117,117.0,2021,Jeep,Wrangler,"[""SUV""]"
118,118.0,2021,Jeep,Wrangler Unlimited,"[""SUV""]"
119,119.0,2021,Kia,Forte,"[""Sedan""]"
120,120.0,2021,Kia,K5,"[""Sedan""]"
121,121.0,2021,Kia,Rio,"[""Hatchback"", ""Sedan""]"
122,122.0,2021,Kia,Sedona,"[""Van/Minivan""]"
123,123.0,2021,Kia,Seltos,"[""SUV""]"
124,124.0,2021,Kia,Sorento,"[""SUV""]"
125,125.0,2021,Kia,Soul,"[""Wagon""]"
126,126.0,2021,Kia,Sportage,"[""SUV""]"
127,127.0,2021,Kia,Stinger,"[""Sedan""]"
128,128.0,2021,Kia,Telluride,"[""SUV""]"
129,129.0,2021,Land Rover,Discovery,"[""SUV""]"
130,130.0,2021,Land Rover,Range Rover,"[""SUV""]"
131,131.0,2021,Land Rover,Range Rover Sport,"[""SUV""]"
132,132.0,2021,Land Rover,Range Rover Velar,"[""SUV""]"
133,133.0,2021,Lexus,ES,"[""Sedan""]"
134,134.0,2021,Lexus,GX,"[""SUV""]"
135,135.0,2021,Lexus,IS,"[""Sedan""]"
136,136.0,2021,Lexus,LC,"[""Coupe"", ""Convertible""]"
137,137.0,2021,Lexus,LS,"[""Sedan""]"
138,138.0,2021,Lexus,LX,"[""SUV""]"
139,139.0,2021,Lexus,NX,"[""SUV""]"
140,140.0,2021,Lexus,RC,"[""Coupe""]"
141,141.0,2021,Lexus,RX,"[""SUV""]"
142,142.0,2021,Lexus,UX,"[""SUV""]"
143,143.0,2021,Lincoln,Aviator,"[""SUV""]"
144,144.0,2021,Lincoln,Corsair,"[""SUV""]"
145,145.0,2021,Lincoln,Nautilus,"[""SUV""]"
146,146.0,2021,Lincoln,Navigator,"[""SUV""]"
147,147.0,2021,Lincoln,Navigator L,"[""SUV""]"
148,148.0,2021,MAZDA,CX-3,"[""SUV""]"
149,149.0,2021,MAZDA,CX-30,"[""SUV""]"
150,150.0,2021,MAZDA,CX-5,"[""SUV""]"
151,151.0,2021,MAZDA,CX-9,"[""SUV""]"
152,152.0,2021,MAZDA,MAZDA3,"[""Hatchback"", ""Sedan""]"
153,153.0,2021,MAZDA,MAZDA6,"[""Sedan""]"
154,154.0,2021,MAZDA,MX-5 Miata,"[""Convertible""]"
155,155.0,2021,MAZDA,MX-5 Miata RF,"[""Convertible""]"
156,156.0,2021,Mercedes-Benz,A-Class,"[""Sedan""]"
157,157.0,2021,Mercedes-Benz,C-Class,"[""Coupe""]"
158,158.0,2021,Mercedes-Benz,G-Class,"[""SUV""]"
159,159.0,2021,Mercedes-Benz,GLA,"[""SUV""]"
160,160.0,2021,Mercedes-Benz,GLB,"[""SUV""]"
161,161.0,2021,Mercedes-Benz,GLC,"[""SUV""]"
162,162.0,2021,Mercedes-Benz,GLE,"[""SUV""]"
163,163.0,2021,Mercedes-Benz,Mercedes-AMG G-Class,"[""SUV""]"
164,164.0,2021,Mitsubishi,Outlander Sport,"[""SUV""]"
165,165.0,2021,Nissan,Altima,"[""Sedan""]"
166,166.0,2021,Nissan,Frontier Crew Cab,"[""Pickup""]"
167,167.0,2021,Nissan,Frontier King Cab,"[""Pickup""]"
